Predictor,median,Taxon,No_species>0,Category
Pop_Dens,11.872,Crassiclitellata,4,LandCover
Pastures,6.1625,Crassiclitellata,4,LandCover
Slope,6.029999999999999,Crassiclitellata,3,Location
Dist_River,4.1875,Crassiclitellata,4,Location
MAP_Chelsa.EU,3.435,Crassiclitellata,2,Climate
CEC,2.383,Crassiclitellata,2,Soil
Forest_Deci,2.12,Crassiclitellata,2,LandCover
N,1.871,Crassiclitellata,2,Soil
Dist_Urban,1.7735,Crassiclitellata,3,LandCover
Snow,1.1745,Crassiclitellata,3,Climate
Agriculture,7.036,Fungi,139,LandCover
Pop_Dens,5.87,Fungi,140,LandCover
Dist_Urban,4.291,Fungi,139,LandCover
Cu,3.54,Fungi,134,Soil
Pastures,3.45,Fungi,137,LandCover
Slope,3.24,Fungi,131,Location
Dist_River,2.729,Fungi,137,Location
Forest_Coni,2.662,Fungi,128,LandCover
Forest_Deci,2.585,Fungi,133,LandCover
Clay.Silt,2.545,Fungi,125,Soil
Pop_Dens,8.978,Nematodes,30,LandCover
Agriculture,8.3595,Nematodes,29,LandCover
Dist_Urban,5.854,Nematodes,29,LandCover
Clay.Silt,4.3855,Nematodes,30,Soil
MAP_Chelsa.EU,4.3425,Nematodes,29,Climate
MAT_Chelsa.EU,4.17,Nematodes,29,Climate
Dist_River,4.145,Nematodes,28,Location
Forest_Deci,4.061,Nematodes,29,LandCover
Forest_Coni,3.9644999999999997,Nematodes,28,LandCover
P,3.7504999999999997,Nematodes,30,Soil
Pop_Dens,12.453,Protists,128,LandCover
Agriculture,7.332,Protists,125,LandCover
Slope,6.593,Protists,128,Location
Cu,4.963,Protists,126,Soil
NDVI,4.45,Protists,111,LandCover
Dist_Urban,4.404,Protists,123,LandCover
Clay.Silt,3.96,Protists,125,Soil
Pastures,3.766,Protists,126,LandCover
Forest_Deci,2.941,Protists,123,LandCover
pH,2.811,Protists,118,Soil
Pop_Dens,8.0595,Eukaryotes,78,LandCover
Agriculture,7.6565,Eukaryotes,75,LandCover
Slope,5.522,Eukaryotes,76,Location
Dist_Urban,4.0285,Eukaryotes,73,LandCover
Forest_Deci,3.6165000000000003,Eukaryotes,75,LandCover
NDVI,3.2089999999999996,Eukaryotes,69,LandCover
SOC,3.0965,Eukaryotes,65,Soil
Forest_Coni,2.9669999999999996,Eukaryotes,74,LandCover
Dist_River,2.96,Eukaryotes,73,Location
MAP_Chelsa.EU,2.866,Eukaryotes,66,Climate
Agriculture,6.7524999999999995,Bacteria,387,LandCover
Pop_Dens,6.6739999999999995,Bacteria,403,LandCover
Dist_Urban,4.4775,Bacteria,373,LandCover
Slope,3.5985,Bacteria,372,Location
Forest_Deci,3.391,Bacteria,366,LandCover
P,3.3585000000000003,Bacteria,376,Soil
Cu,3.2794999999999996,Bacteria,358,Soil
Forest_Coni,2.9535,Bacteria,378,LandCover
Dist_River,2.8725,Bacteria,383,Location
MAP_Chelsa.EU,2.8585000000000003,Bacteria,337,Climate
