x,y,SpeciesID,Abundance,Presence,OBJECTID,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.summary
-8.31388458,41.56463753,Nem_1,1596,1,12277,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_2,0,0,12278,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_3,0,0,12279,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_4,47868,1,12280,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_5,7978,1,12281,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_6,0,0,12282,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_7,0,0,12283,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_8,0,0,12284,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_9,38294,1,12285,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_10,10,1,12286,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_11,1596,1,12287,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_12,4787,1,12288,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_13,0,0,12289,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_14,7978,1,12290,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_15,0,0,12291,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_16,0,0,12292,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_17,0,0,12293,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_18,10,1,12294,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_19,0,0,12295,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_20,15956,1,12296,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_21,0,0,12297,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
-8.31388458,41.56463753,Nem_22,0,0,12298,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
