SpeciesID,GLM,GBM,GAM,CTA,ANN,SRE,FDA,MARS,RF,MAXENT,Presences,Absences
Allol_chlo,1,1,NA,1,1,1,1,1,1,1,23,68
Amynt_cort,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90
Aporr_cali,1,1,NA,1,1,1,1,1,1,1,6,85
Aporr_moll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90
Aporr_oliv,1,1,NA,1,1,1,1,1,1,1,10,81
Aporr_rose,1,1,NA,1,1,1,1,1,1,1,11,80
Aporr_trap,1,1,NA,1,1,1,1,1,1,1,50,41
Dendr_atte,1,1,NA,1,1,1,1,1,1,1,8,83
Dendr_octa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90
Dendr_ruSu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90
Dendr_ruTe,1,1,NA,1,1,NA,1,1,1,1,3,88
Dendr_rubi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90
Eisen_tetr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90
Lumbr_cast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,89
Lumbr_frie,1,1,NA,1,1,NA,1,1,1,1,4,87
Lumbr_rube,1,1,NA,1,1,NA,1,1,1,1,2,89
Lumbr_terr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90
Micro_dubi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,85
Micro_phos,1,1,NA,1,1,1,1,1,1,1,4,87
Octol_cyan,1,1,NA,1,1,1,1,1,1,1,5,86
Octol_lact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,89
Octol_tyrt,1,1,NA,1,1,NA,1,1,1,1,2,89
Satch_made,1,1,NA,1,1,1,1,1,1,1,26,65
