SpeciesID,GLM,GBM,GAM,CTA,ANN,SRE,FDA,MARS,RF,MAXENT,Presences,Absences
Nem_1,1,1,1,1,1,1,1,1,1,1,169,223
Nem_10,1,1,1,1,1,1,1,1,1,1,85,307
Nem_11,1,1,1,1,1,1,1,1,1,1,6,387
Nem_12,1,1,1,1,1,1,1,1,1,1,125,266
Nem_13,1,1,1,1,1,1,1,1,1,1,64,329
Nem_14,1,1,1,1,1,1,1,1,1,1,282,107
Nem_15,1,1,1,1,1,1,1,1,1,1,112,277
Nem_16,1,1,1,1,1,1,1,1,1,1,121,272
Nem_17,1,1,1,1,1,1,1,1,1,1,16,376
Nem_18,1,1,1,1,1,1,1,1,1,1,69,323
Nem_19,1,1,1,1,1,1,1,1,1,1,48,344
Nem_2,1,1,1,1,1,1,1,1,1,1,9,385
Nem_20,1,1,1,1,1,1,1,1,1,1,255,133
Nem_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,393
Nem_22,1,1,1,1,1,1,1,1,1,1,62,330
Nem_23,1,1,1,1,1,1,1,1,1,1,8,386
Nem_24,1,1,1,1,1,1,1,1,1,1,232,160
Nem_25,1,1,1,1,1,1,1,1,1,1,7,387
Nem_26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,393
Nem_27,1,1,1,1,1,1,1,1,1,1,313,75
Nem_28,1,1,1,1,1,1,1,1,1,1,228,161
Nem_29,1,1,1,1,1,1,1,1,1,1,24,370
Nem_3,1,1,1,1,1,1,1,1,1,1,286,102
Nem_30,1,1,1,1,1,1,1,1,1,1,262,125
Nem_31,1,1,1,1,1,1,1,1,1,1,276,112
Nem_32,1,1,1,1,1,1,1,1,1,1,8,386
Nem_33,1,1,1,1,1,1,1,1,1,1,29,364
Nem_34,1,1,1,1,1,1,1,1,1,1,190,200
Nem_35,1,1,1,1,1,1,1,1,1,1,52,340
Nem_36,1,1,1,1,1,1,1,1,1,1,210,178
Nem_37,1,1,1,1,1,1,1,1,1,1,92,299
Nem_38,1,1,1,1,1,1,1,1,1,1,64,329
Nem_39,1,1,1,1,1,1,1,1,1,1,80,314
Nem_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,1
Nem_40,1,1,1,1,1,1,1,1,1,1,143,245
Nem_41,1,1,1,1,1,1,1,1,1,1,168,221
Nem_42,1,1,1,1,1,1,1,1,1,1,210,178
Nem_43,1,1,1,1,1,1,1,1,1,1,92,299
Nem_44,1,1,1,1,1,1,1,1,1,1,113,279
Nem_5,1,1,1,1,1,1,1,1,1,1,312,78
Nem_6,1,1,1,1,1,1,1,1,1,1,15,377
Nem_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,392
Nem_8,1,1,1,1,1,1,1,1,1,1,18,376
Nem_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,2
