SpeciesID,occ,Absences
B00001,105,289
B00002,72,322
B00003,81,313
B00004,49,345
B00005,2,392
B00006,69,325
B00007,1,393
B00008,14,380
B00009,52,342
B00010,34,360
B00011,5,389
B00012,8,386
B00013,24,370
B00014,189,205
B00015,7,387
B00016,62,332
B00017,32,362
B00018,146,248
B00019,41,353
B00020,4,390
B00021,8,386
B00022,52,342
B00023,203,1000
B00024,259,1000
B00025,120,274
B00026,6,388
B00027,18,376
B00028,272,1000
B00029,17,377
B00030,169,225
B00031,225,1000
B00032,15,379
B00033,107,287
B00034,5,389
B00035,7,387
B00036,99,295
B00037,353,1000
B00038,18,376
B00039,6,388
B00040,51,343
B00041,120,274
B00042,28,366
B00043,14,380
B00044,7,387
B00045,279,1000
B00046,176,218
B00047,43,351
B00048,209,1000
B00049,6,388
B00050,37,357
B00051,3,391
B00052,60,334
B00053,124,270
B00054,10,384
B00055,18,376
B00056,128,266
B00057,96,298
B00058,19,375
B00059,55,339
B00060,65,329
B00061,3,391
B00062,181,213
B00063,289,1000
B00064,75,319
B00065,324,1000
B00066,20,374
B00067,14,380
B00068,36,358
B00069,120,274
B00070,18,376
B00071,106,288
B00072,76,318
B00073,5,389
B00074,31,363
B00075,19,375
B00076,49,345
B00077,6,388
B00078,29,365
B00079,45,349
B00080,25,369
B00081,14,380
B00082,8,386
B00083,75,319
B00084,50,344
B00085,89,305
B00086,91,303
B00087,203,1000
B00088,90,304
B00089,3,391
B00090,7,387
B00091,65,329
B00092,55,339
B00093,1,393
B00094,40,354
B00095,13,381
B00096,33,361
B00097,42,352
B00098,6,388
B00099,19,375
B00100,3,391
B00101,7,387
B00102,307,1000
B00103,41,353
B00104,25,369
B00105,63,331
B00106,77,317
B00107,95,299
B00108,61,333
B00109,40,354
B00110,46,348
B00111,35,359
B00112,1,393
B00113,73,321
B00114,25,369
B00115,33,361
B00116,51,343
B00117,57,337
B00118,5,389
B00119,5,389
B00120,211,1000
B00121,2,392
B00122,97,297
B00123,33,361
B00124,22,372
B00125,71,323
B00126,36,358
B00127,6,388
B00128,2,392
B00129,103,291
B00130,23,371
B00131,1,393
B00132,83,311
B00133,51,343
B00134,3,391
B00135,38,356
B00136,47,347
B00137,67,327
B00138,10,384
B00139,4,390
B00140,116,278
B00141,248,1000
B00142,24,370
B00143,52,342
B00144,26,368
B00145,151,243
B00146,2,392
B00147,89,305
B00148,5,389
B00149,366,1000
B00150,234,1000
B00151,63,331
B00152,289,1000
B00153,232,1000
B00154,320,1000
B00155,50,344
B00156,17,377
B00157,11,383
B00158,38,356
B00159,2,392
B00160,189,205
B00161,55,339
B00162,54,340
B00163,49,345
B00164,29,365
B00165,164,230
B00166,4,390
B00167,24,370
B00168,94,300
B00169,48,346
B00170,74,320
B00171,9,385
B00172,23,371
B00173,306,1000
B00174,27,367
B00175,5,389
B00176,275,1000
B00177,11,383
B00178,39,355
B00179,5,389
B00180,82,312
B00181,24,370
B00182,31,363
B00183,2,392
B00184,233,1000
B00185,168,226
B00186,16,378
B00187,87,307
B00188,23,371
B00189,29,365
B00190,160,234
B00191,112,282
B00192,103,291
B00193,5,389
B00194,52,342
B00195,138,256
B00196,85,309
B00197,42,352
B00198,11,383
B00199,13,381
B00200,5,389
B00201,217,1000
B00202,19,375
B00203,8,386
B00204,21,373
B00205,371,1000
B00206,81,313
B00207,74,320
B00208,1,393
B00209,78,316
B00210,21,373
B00211,23,371
B00212,22,372
B00213,177,217
B00214,24,370
B00215,56,338
B00216,52,342
B00217,45,349
B00218,118,276
B00219,46,348
B00220,154,240
B00221,25,369
B00222,84,310
B00223,32,362
B00224,162,232
B00225,5,389
B00226,10,384
B00227,163,231
B00228,45,349
B00229,7,387
B00230,169,225
B00231,16,378
B00232,64,330
B00233,139,255
B00234,52,342
B00235,24,370
B00236,207,1000
B00237,6,388
B00238,4,390
B00239,21,373
B00240,33,361
B00241,45,349
B00242,106,288
B00243,9,385
B00244,219,1000
B00245,11,383
B00246,10,384
B00247,26,368
B00248,109,285
B00249,55,339
B00250,9,385
B00251,279,1000
B00252,6,388
B00253,84,310
B00254,30,364
B00255,325,1000
B00256,261,1000
B00257,86,308
B00258,10,384
B00259,176,218
B00260,258,1000
B00261,1,393
B00262,54,340
B00263,2,392
B00264,42,352
B00265,3,391
B00266,259,1000
B00267,2,392
B00268,29,365
B00269,52,342
B00270,70,324
B00271,3,391
B00272,247,1000
B00273,225,1000
B00274,33,361
B00275,24,370
B00276,40,354
B00277,7,387
B00278,3,391
B00279,1,393
B00280,3,391
B00281,36,358
B00282,49,345
B00283,175,219
B00284,10,384
B00285,75,319
B00286,3,391
B00287,31,363
B00288,32,362
B00289,90,304
B00290,109,285
B00291,8,386
B00292,305,1000
B00293,11,383
B00294,17,377
B00295,7,387
B00296,38,356
B00297,303,1000
B00298,34,360
B00299,98,296
B00300,5,389
B00301,7,387
B00302,12,382
B00303,19,375
B00304,243,1000
B00305,17,377
B00306,17,377
B00307,236,1000
B00308,3,391
B00309,8,386
B00310,123,271
B00311,339,1000
B00312,19,375
B00313,125,269
B00314,116,278
B00315,88,306
B00316,101,293
B00317,177,217
B00318,22,372
B00319,130,264
B00320,192,202
B00321,140,254
B00322,344,1000
B00323,3,391
B00324,202,1000
B00325,83,311
B00326,159,235
B00327,194,200
B00328,53,341
B00329,48,346
B00330,15,379
B00331,107,287
B00332,113,281
B00333,144,250
B00334,311,1000
B00335,255,1000
B00336,169,225
B00337,64,330
B00338,230,1000
B00339,213,1000
B00340,98,296
B00341,42,352
B00342,292,1000
B00343,13,381
B00344,136,258
B00345,58,336
B00346,20,374
B00347,142,252
B00348,315,1000
B00349,101,293
B00350,36,358
B00351,11,383
B00352,84,310
B00353,350,1000
B00354,137,257
B00355,29,365
B00356,158,236
B00357,120,274
B00358,285,1000
B00359,86,308
B00360,207,1000
B00361,174,220
B00362,13,381
B00363,173,221
B00364,111,283
B00365,90,304
B00366,180,214
B00367,66,328
B00368,34,360
B00369,185,209
B00370,108,286
B00371,107,287
B00372,3,391
B00373,51,343
B00374,359,1000
B00375,132,262
B00376,343,1000
B00377,120,274
B00378,45,349
B00379,85,309
B00380,12,382
B00381,109,285
B00382,119,275
B00383,130,264
B00384,64,330
B00385,304,1000
B00386,113,281
B00387,10,384
B00388,259,1000
B00389,106,288
B00390,8,386
B00391,34,360
B00392,5,389
B00393,278,1000
B00394,226,1000
B00395,18,376
B00396,8,386
B00397,16,378
B00398,138,256
B00399,57,337
B00400,4,390
B00401,22,372
B00402,353,1000
B00403,245,1000
B00404,128,266
B00405,39,355
B00406,251,1000
B00407,11,383
