D,P,C,O,F,G,S,#OTU ID,taxaID
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu10989,E00001
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu12064,E00002
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu12921,E00003
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu18624,E00004
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu20601,E00005
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu2218,E00006
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu2561,E00007
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu2757,E00008
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu28782,E00009
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu4345,E00010
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu4608,E00011
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu5843,E00012
Eukaryota,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,Amoebozoa,metagenome,Otu6017,E00013
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_jacobsi,Otu4044,E00014
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu1680,E00015
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu19390,E00016
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu1943,E00017
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu2109,E00018
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu23403,E00019
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu27881,E00020
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu35807,E00021
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu366,E00022
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu4865,E00023
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu7630,E00024
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_lenticulata,Otu8246,E00025
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu122,E00026
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu1422,E00027
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu14299,E00028
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu2602,E00029
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu3045,E00030
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu4371,E00031
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu726,E00032
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu736,E00033
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu760,E00034
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu791,E00035
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,Acanthamoeba_sp,Otu8383,E00036
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu1299,E00037
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu13333,E00038
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu20903,E00039
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu21115,E00040
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu21311,E00041
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu28015,E00042
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu30849,E00043
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu31500,E00044
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu455,E00045
Eukaryota,Amoebozoa,Discosea,Centramoebida,Centramoebida,Acanthamoeba,NA,Otu8965,E00046
