D,P,C,O,F,G,S,OTU_ID,SpeciesID,occ,Absences
Eukaryota,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,NA,Otu195,F0001,181,1000
Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,NA,Otu32,F0002,315,1000
Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Dothideales,Scleroconidioma,NA,Otu61,F0003,204,1000
Eukaryota,Ascomycota,Dothideomycetes,Incertae_Sedis,Incertae_Sedis,Heliocephala,NA,Otu1420,F0004,87,270
Eukaryota,Ascomycota,Dothideomycetes,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,NA,Otu7718,F0005,40,317
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,NA,Otu88,F0006,281,1000
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,NA,Otu128,F0007,165,192
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,NA,Otu11585,F0008,3,354
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Incertae_Sedis,Pleiochaeta,NA,Otu138,F0009,187,1000
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Incertae_Sedis,Shiraia,NA,Otu1884,F0010,4,353
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Helminthosporium,NA,Otu376,F0011,86,271
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,NA,Otu115,F0012,255,1000
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,Otu251,F0013,21,336
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,NA,Otu3401,F0014,7,350
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleospora,NA,Otu104,F0015,298,1000
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales,Herpotrichia,NA,Otu247,F0016,102,255
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales,Periconia,NA,Otu591,F0017,44,313
Eukaryota,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Fusicladium,NA,Otu158,F0018,308,1000
Eukaryota,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,NA,Otu259,F0019,158,199
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,Otu38,F0020,335,1000
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Monascus,NA,Otu17635,F0021,7,350
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,Otu166,F0022,292,1000
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,NA,Otu21,F0023,241,1000
Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Gymnoascaceae,Arachniotus,NA,Otu2800,F0024,71,286
Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Aphanoascus,NA,Otu1585,F0025,10,347
Eukaryota,Ascomycota,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,Lecophagus,NA,Otu3780,F0026,30,327
Eukaryota,Ascomycota,Laboulbeniomycetes,Laboulbeniomycetes,Laboulbeniomycetes,Laboulbeniomycetes,NA,Otu12741,F0027,6,351
Eukaryota,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Heterodermia,NA,Otu30082,F0028,1,356
Eukaryota,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,NA,Otu10037,F0029,6,351
Eukaryota,Ascomycota,Leotiomyceta_Incertae_Sedis,Candelariales,Pycnoraceae,Pycnora,NA,Otu445,F0030,158,199
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Helotiaceae,NA,Otu164,F0031,279,1000
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiales,Helotiales,NA,Otu2615,F0032,130,227
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiales,Hymenoscyphus,NA,Otu1390,F0033,11,346
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiales,Rhynchosporium,NA,Otu65,F0034,256,1000
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Incertae_Sedis,Phialocephala,NA,Otu217,F0035,278,1000
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Incertae_Sedis,Tetracladium,NA,Otu1035,F0036,114,243
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Scleromitrula,NA,Otu29888,F0037,17,340
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,NA,Otu86,F0038,282,1000
Eukaryota,Ascomycota,Leotiomycetes,Incertae_Sedis,Incertae_Sedis,Leohumicola,NA,Otu925,F0039,229,1000
Eukaryota,Ascomycota,Leotiomycetes,Incertae_Sedis,Incertae_Sedis,Scytalidium,NA,Otu1370,F0040,66,291
Eukaryota,Ascomycota,Leotiomycetes,Leotiomycetes,Leotiomycetes,Leotiomycetes,NA,Otu1217,F0041,84,273
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Cephaliophora,NA,Otu1180,F0042,53,304
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,NA,Otu2725,F0043,15,342
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Imaia,NA,Otu1686,F0044,13,344
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Pachyella,NA,Otu5878,F0045,45,312
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,NA,Otu532,F0046,163,194
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,NA,Otu542,F0047,45,312
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Humaria,NA,Otu1179,F0048,92,265
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Lamprospora,NA,Otu5077,F0049,42,315
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Marcelleina,NA,Otu417,F0050,44,313
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Miladina,NA,Otu1357,F0051,82,275
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Octospora,NA,Otu1347,F0052,28,329
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Otidea,NA,Otu3596,F0053,6,351
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Sowerbyella,NA,Otu75,F0054,70,287
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Rhizinaceae,Phymatotrichopsis,NA,Otu242,F0055,161,196
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Pithya,NA,Otu6948,F0056,18,339
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,NA,Otu232,F0057,34,323
Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida_glaebosa_clade,NA,Otu13466,F0058,5,352
Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,NA,Otu1808,F0059,2,355
Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma,NA,Otu15221,F0060,41,316
