Family,Genus,ID,SpeciesID,occ,Absences
Alaimidae,NA,Nem_1,N0001,169,225
Anguinidae,NA-Ditylenchus,Nem_2-Nem_13,N0002,71,323
Aphelenchidae,NA,Nem_3,N0003,286,1000
Aphelenchoididae,NA,Nem_4,N0004,386,1000
Aporcelaimidae,NA,Nem_5,N0005,312,1000
Belondiridae,NA,Nem_6,N0006,15,379
Bunonematidae,NA,Nem_7,N0007,2,392
Cephalobidae,NA,Nem_9,N0008,385,1000
Criconematidae,Criconema-NA,Nem_10-Nem_11,N0009,90,304
Diphtherophoridae,NA,Nem_12,N0010,125,269
Dorylaimidae,NA,Nem_14,N0011,282,1000
Hemicycliophoridae,Hemicycliophora,Nem_17,N0012,16,378
Heteroderidae,Heterodera-Meloidogyne,Nem_18-Nem_22,N0013,114,280
Hoplolaimidae,Helicotylenchus-Hoplolaimus-Rotylenchus,Nem_16-Nem_19-Nem_35,N0014,173,221
Leptonchidae,NA,Nem_20,N0015,255,1000
Longidoridae,Longidorus-Xiphinema,Nem_21-Nem_44,N0016,114,280
Monhysteridae,NA,Nem_23,N0017,8,386
Mononchidae,NA,Nem_24,N0018,232,1000
Neotylenchidae,NA,Nem_25,N0019,7,387
Nordiidae,NA,Nem_26,N0020,1,393
Panagrolaimidae,NA,Nem_27,N0021,313,1000
Paratylenchidae,Cacopaurus-Gracilacus,Nem_8-Nem_15,N0022,123,271
Plectidae,NA-Wilsonema,Nem_29-Nem_43,N0023,101,293
Pratylenchidae,Pratylenchus,Nem_30,N0024,262,1000
Prismatolaimidae,NA,Nem_31,N0025,276,1000
Qudsianematidae,NA,Nem_33,N0026,29,365
Rhabditidae,NA,Nem_34,N0027,190,204
Telotylenchidae,Tylenchorhynchus,Nem_41,N0028,168,226
Teratocephalidae,NA,Nem_36,N0029,210,1000
Trichodoridae,NA,Nem_37,N0030,92,302
Tripylidae,NA,Nem_38,N0031,64,330
Tylenchidae,Psilenchus-NA-Tylenchus,Nem_32-Nem_39-Nem_42,N0032,261,1000
Tylencholaimidae,Tylencholaimus,Nem_40,N0033,143,251
Tylenchulidae,Paratylenchus,Nem_28,N0034,228,1000
