Predictor,mean,Taxon,No_species>0
MAP_Chelsa.EU,13.9062,Earthworms,2
Forest_Coni,11.4292,Earthworms,5
Slope,8.816600000000001,Earthworms,4
Forest_Deci,8.3604,Earthworms,3
Cu,7.8368,Earthworms,3
MAPseas_Chelsa.EU,7.3598,Earthworms,3
SOC,4.824199999999999,Earthworms,1
NDVI,4.4512,Earthworms,2
Pop_Dens,4.316800000000001,Earthworms,2
pH,3.8136,Earthworms,1
N,3.5488,Earthworms,2
CEC,3.2762000000000002,Earthworms,3
Dist_River,2.92,Earthworms,5
Pastures,2.738,Earthworms,4
P,2.6708,Earthworms,3
Hg,2.0507999999999997,Earthworms,2
Clay.Silt,1.7516,Earthworms,4
Agriculture,1.5066,Earthworms,2
Dist_Urban,1.3536,Earthworms,3
Moisture,1.199,Earthworms,2
Aspect,1.1624,Earthworms,2
Snow,0.7074,Earthworms,3
MAT_Chelsa.EU,0,Earthworms,NA
