"Variables","VIF_raw","VIF","MAP_Chelsa.EU","MAT_Chelsa.EU","Snow","Agriculture","Dist_Urban","Forest_Coni","Forest_Deci","NDVI","Pastures","Pop_Dens","Shrubland","Aspect","Dist_River","Slope","CEC","Clay.Silt","Cu","Hg","Moisture","N","P","pH"
"MAP_Chelsa.EU",114.338983867947,7.85570972524615,1,-0.0891306099781367,-0.37638043729669,-0.337682407713919,-0.120208382895561,0.029918234264525,0.278019199264386,0.664690140192115,0.132288303344888,0.178814668175719,0.0446191138169626,0.0907368402267283,0.0174161414989382,-0.0796246116175085,-0.143419158118915,-0.538653270460582,-0.0179438181361647,0.403861224474188,0.282583849836833,0.615683017939649,0.225210861548147,-0.59185192617173
"MAPseas_Chelsa.EU",21.6368286256229,7.51642302235286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_Chelsa.EU",15.8566033932188,2.48739027710043,-0.0891306099781367,1,-0.0282788139318163,0.151947342532147,-0.460876678148907,-0.0153287492844738,0.171411678715115,0.0621459665804977,-0.262145922037168,0.325209639377284,-0.313033436398804,0.0495205075739342,-0.0673521631512436,0.0202422141196879,0.187875274946252,0.200207411491826,0.58551012986937,-0.179500863563769,0.337572301295385,0.041377026169571,0.0569672661211885,0.191361433176501
"MATseas_Chelsa.EU",40.148448713816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aridity",141.314591496478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snow",1.574684102717,1.35689040841501,-0.37638043729669,-0.0282788139318163,1,0.201755297296241,0.00476223540723085,0.000129435906766467,-0.124077207741815,-0.279763082558034,-0.0665257698265849,-0.0643842199026265,-0.00450087289800776,-0.00724852307559264,0.201141272357215,0.198305357203374,-0.0411897151576975,0.186274750149081,0.0579790670510485,-0.153678679767405,-0.151215228569148,-0.333085425951914,-0.0462247102648312,0.222795006025298
"Agriculture",15.2460821214053,1.6784954427867,-0.337682407713919,0.151947342532147,0.201755297296241,1,-0.0781206251429701,-0.195094417259487,-0.268174295417643,-0.296309367994112,-0.186746977088376,-0.026915975339329,-0.654585795369493,-0.0709897003779147,-0.041321454756559,0.35967289729528,0.135214473627454,0.29621191037098,0.229357635411172,-0.145841411315567,-0.0336695603805449,-0.246520051964295,0.267935074601952,0.284440302193291
"Dist_Urban",1.85140503477102,1.57344250735669,-0.120208382895561,-0.460876678148907,0.00476223540723085,-0.0781206251429701,1,0.0052813219640669,-0.130007977801065,-0.187081322086991,0.178430521610218,-0.330400539582194,0.246991675245981,-0.0775727603491482,0.0711776360600297,-0.253079166093463,0.0750109137377523,0.116742418906925,-0.230561042445093,0.0167442660554924,-0.241574279849835,-0.0840204565224885,-0.192829059146597,0.178700243414869
"Forest_Coni",3.88590497933928,1.20195130922724,0.029918234264525,-0.0153287492844738,0.000129435906766467,-0.195094417259487,0.0052813219640669,1,-0.0821781134517897,0.219811019208062,-0.0584298608878654,-0.0590635732166361,-0.154460882486059,0.0267749335623831,0.171669566314608,-0.0304827018551944,-0.151496112411899,-0.0731897080249078,-0.0876515651360832,-0.0149678172612556,-0.0358546180727448,0.0260241281880202,-0.161424595799399,-0.164376585644378
"Forest_Deci",7.36082454990285,1.51931870818832,0.278019199264386,0.171411678715115,-0.124077207741815,-0.268174295417643,-0.130007977801065,-0.0821781134517897,1,0.438281802449716,-0.0785999654108253,-0.00446028550276572,-0.256284097947973,0.0381171211033233,-0.00826987032755918,-0.121514002656981,-0.0579286174496032,-0.0401484093368445,0.154587461337639,0.0831376648600289,0.195840987831492,0.246607687571688,-0.103881846803387,-0.21388691565393
