Predictor,maxent,Species
Agriculture,1.98,Allol_chlo
Aspect,2.829,Allol_chlo
CEC,6.365,Allol_chlo
Clay.Silt,0.141,Allol_chlo
Cu,16.69,Allol_chlo
Dist_River,2.405,Allol_chlo
Dist_Urban,0,Allol_chlo
Forest_Coni,2.122,Allol_chlo
Forest_Deci,0,Allol_chlo
Hg,0,Allol_chlo
MAP_Chelsa.EU,0,Allol_chlo
MAPseas_Chelsa.EU,3.96,Allol_chlo
MAT_Chelsa.EU,0,Allol_chlo
Moisture,0,Allol_chlo
N,14.851,Allol_chlo
NDVI,14.569,Allol_chlo
P,0,Allol_chlo
Pastures,9.759,Allol_chlo
Pop_Dens,18.388,Allol_chlo
SOC,0,Allol_chlo
Slope,4.526,Allol_chlo
Snow,1.414,Allol_chlo
pH,0,Allol_chlo
Agriculture,0,Aporr_oliv
Aspect,0,Aporr_oliv
CEC,0,Aporr_oliv
Clay.Silt,0.413,Aporr_oliv
Cu,21.901,Aporr_oliv
Dist_River,2.893,Aporr_oliv
Dist_Urban,4.132,Aporr_oliv
Forest_Coni,23.14,Aporr_oliv
Forest_Deci,23.14,Aporr_oliv
Hg,0,Aporr_oliv
MAP_Chelsa.EU,0,Aporr_oliv
MAPseas_Chelsa.EU,0,Aporr_oliv
MAT_Chelsa.EU,0,Aporr_oliv
Moisture,0,Aporr_oliv
N,2.893,Aporr_oliv
NDVI,0,Aporr_oliv
P,0.413,Aporr_oliv
Pastures,0.413,Aporr_oliv
Pop_Dens,0,Aporr_oliv
SOC,0,Aporr_oliv
Slope,20.661,Aporr_oliv
Snow,0,Aporr_oliv
pH,0,Aporr_oliv
Agriculture,0,Aporr_rose
Aspect,0,Aporr_rose
CEC,5.528,Aporr_rose
Clay.Silt,0,Aporr_rose
Cu,0,Aporr_rose
Dist_River,0.502,Aporr_rose
Dist_Urban,0,Aporr_rose
Forest_Coni,30.151,Aporr_rose
Forest_Deci,0,Aporr_rose
Hg,0,Aporr_rose
MAP_Chelsa.EU,0,Aporr_rose
MAPseas_Chelsa.EU,28.643,Aporr_rose
MAT_Chelsa.EU,0,Aporr_rose
Moisture,0,Aporr_rose
N,0,Aporr_rose
NDVI,0,Aporr_rose
P,11.055,Aporr_rose
Pastures,0,Aporr_rose
Pop_Dens,0,Aporr_rose
SOC,24.121,Aporr_rose
Slope,0,Aporr_rose
Snow,0,Aporr_rose
pH,0,Aporr_rose
Agriculture,5.553,Aporr_trap
Aspect,2.983,Aporr_trap
CEC,4.488,Aporr_trap
Clay.Silt,6.378,Aporr_trap
Cu,0.593,Aporr_trap
Dist_River,2.75,Aporr_trap
Dist_Urban,0.581,Aporr_trap
Forest_Coni,1.505,Aporr_trap
Forest_Deci,6.79,Aporr_trap
Hg,3.747,Aporr_trap
MAP_Chelsa.EU,11.768,Aporr_trap
MAPseas_Chelsa.EU,4.196,Aporr_trap
MAT_Chelsa.EU,0,Aporr_trap
Moisture,5.881,Aporr_trap
N,0,Aporr_trap
NDVI,7.687,Aporr_trap
P,1.886,Aporr_trap
Pastures,2.034,Aporr_trap
Pop_Dens,0,Aporr_trap
SOC,0,Aporr_trap
Slope,11.362,Aporr_trap
Snow,0.753,Aporr_trap
pH,19.068,Aporr_trap
Agriculture,0,Satch_made
Aspect,0,Satch_made
CEC,0,Satch_made
Clay.Silt,1.826,Satch_made
Cu,0,Satch_made
Dist_River,6.05,Satch_made
Dist_Urban,2.055,Satch_made
Forest_Coni,0.228,Satch_made
Forest_Deci,11.872,Satch_made
Hg,6.507,Satch_made
MAP_Chelsa.EU,57.763,Satch_made
MAPseas_Chelsa.EU,0,Satch_made
MAT_Chelsa.EU,0,Satch_made
Moisture,0.114,Satch_made
N,0,Satch_made
NDVI,0,Satch_made
P,0,Satch_made
Pastures,1.484,Satch_made
Pop_Dens,3.196,Satch_made
SOC,0,Satch_made
Slope,7.534,Satch_made
Snow,1.37,Satch_made
pH,0,Satch_made
